,valence_condition,means_condition,control_code,neg,neither,pos,condition,total
0,negative,absent,controllable,0.08409090909090909,0.045454545454545456,0.17727272727272728,Uncontrollable & Negative,0.3068181818181818
1,negative,absent,neither_control,0.10227272727272728,0.013636363636363636,0.08181818181818182,Uncontrollable & Negative,0.19772727272727275
2,negative,absent,uncontrollable,0.2409090909090909,0.01818181818181818,0.23636363636363636,Uncontrollable & Negative,0.4954545454545455
6,positive,absent,controllable,0.05454545454545454,0.04318181818181818,0.11818181818181818,Uncontrollable & Positive,0.21590909090909088
7,positive,absent,neither_control,0.09318181818181819,0.01818181818181818,0.07045454545454545,Uncontrollable & Positive,0.18181818181818182
8,positive,absent,uncontrollable,0.3159090909090909,0.03409090909090909,0.25227272727272726,Uncontrollable & Positive,0.6022727272727273
3,negative,present,controllable,0.13657407407407407,0.0625,0.0763888888888889,Controllable & Negative,0.27546296296296297
4,negative,present,neither_control,0.14351851851851852,0.009259259259259259,0.06481481481481481,Controllable & Negative,0.21759259259259262
5,negative,present,uncontrollable,0.35648148148148145,0.034722222222222224,0.11574074074074074,Controllable & Negative,0.5069444444444444
9,positive,present,controllable,0.1409090909090909,0.006818181818181818,0.07272727272727272,Controllable & Positive,0.22045454545454543
10,positive,present,neither_control,0.1431818181818182,0.006818181818181818,0.03409090909090909,Controllable & Positive,0.18409090909090908
11,positive,present,uncontrollable,0.4590909090909091,0.03409090909090909,0.10227272727272728,Controllable & Positive,0.5954545454545455
